ts_utc,zone,series,value,source
2023-01-13T07:00:00,DE-LU,price.day_ahead,105.95,energy_charts
2023-01-13T08:00:00,DE-LU,price.day_ahead,100.64,energy_charts
2023-01-13T09:00:00,DE-LU,price.day_ahead,94.85,energy_charts
2023-01-13T10:00:00,DE-LU,price.day_ahead,84.93,energy_charts
2023-01-13T11:00:00,DE-LU,price.day_ahead,76.53,energy_charts
2023-01-13T12:00:00,DE-LU,price.day_ahead,70.24,energy_charts
2023-01-13T13:00:00,DE-LU,price.day_ahead,73.55,energy_charts
2023-01-13T14:00:00,DE-LU,price.day_ahead,79.85,energy_charts
2023-01-13T15:00:00,DE-LU,price.day_ahead,85.31,energy_charts
2023-01-13T16:00:00,DE-LU,price.day_ahead,96.9,energy_charts
2023-01-13T17:00:00,DE-LU,price.day_ahead,96.97,energy_charts
2023-01-13T18:00:00,DE-LU,price.day_ahead,95.91,energy_charts
2023-01-13T19:00:00,DE-LU,price.day_ahead,84.94,energy_charts
2023-01-13T20:00:00,DE-LU,price.day_ahead,76.89,energy_charts
2023-01-13T21:00:00,DE-LU,price.day_ahead,76.51,energy_charts
2023-01-13T22:00:00,DE-LU,price.day_ahead,68.3,energy_charts
2023-01-13T23:00:00,DE-LU,price.day_ahead,25.68,energy_charts
2023-01-14T00:00:00,DE-LU,price.day_ahead,34.62,energy_charts
2023-01-14T01:00:00,DE-LU,price.day_ahead,44.7,energy_charts
2023-01-14T02:00:00,DE-LU,price.day_ahead,41.23,energy_charts
2023-01-14T03:00:00,DE-LU,price.day_ahead,40.7,energy_charts
2023-01-14T04:00:00,DE-LU,price.day_ahead,40.68,energy_charts
2023-01-14T05:00:00,DE-LU,price.day_ahead,45.1,energy_charts
2023-01-14T06:00:00,DE-LU,price.day_ahead,53.14,energy_charts
2023-01-14T07:00:00,DE-LU,price.day_ahead,52.34,energy_charts
2023-01-14T08:00:00,DE-LU,price.day_ahead,54.16,energy_charts
2023-01-14T09:00:00,DE-LU,price.day_ahead,50.47,energy_charts
2023-01-14T10:00:00,DE-LU,price.day_ahead,55.01,energy_charts
2023-01-14T11:00:00,DE-LU,price.day_ahead,48.91,energy_charts
2023-01-14T12:00:00,DE-LU,price.day_ahead,25.25,energy_charts
2023-01-14T13:00:00,DE-LU,price.day_ahead,13.42,energy_charts
2023-01-14T14:00:00,DE-LU,price.day_ahead,9.05,energy_charts
2023-01-14T15:00:00,DE-LU,price.day_ahead,9.04,energy_charts
2023-01-14T16:00:00,DE-LU,price.day_ahead,11.04,energy_charts
2023-01-14T17:00:00,DE-LU,price.day_ahead,13.69,energy_charts
2023-01-14T18:00:00,DE-LU,price.day_ahead,6.84,energy_charts
2023-01-14T19:00:00,DE-LU,price.day_ahead,9.03,energy_charts
2023-01-14T20:00:00,DE-LU,price.day_ahead,9.07,energy_charts
2023-01-14T21:00:00,DE-LU,price.day_ahead,5.9,energy_charts
2023-01-14T22:00:00,DE-LU,price.day_ahead,5.19,energy_charts
2023-01-14T23:00:00,DE-LU,price.day_ahead,3.94,energy_charts
2023-01-15T00:00:00,DE-LU,price.day_ahead,1.71,energy_charts
2023-01-15T01:00:00,DE-LU,price.day_ahead,4.1,energy_charts
2023-01-15T02:00:00,DE-LU,price.day_ahead,2.65,energy_charts
2023-01-15T03:00:00,DE-LU,price.day_ahead,2.87,energy_charts
2023-01-15T04:00:00,DE-LU,price.day_ahead,4.01,energy_charts
2023-01-15T05:00:00,DE-LU,price.day_ahead,1.58,energy_charts
